SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,ADDRESS,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE,MATCH_ADDR,MATCH_TYPE,LATITUDE,LONGITUDE
N N,,"Cramer, Haighton & Co",Schooner,1868,Venersberg,3/19/1881,1881,3,19,Little Egg LSS N 1.5 mi,Wrecked,,Netherlands,96.8,23.5,11.5,181,176,"Amsterdam, Netherlands","Samarang, Java","New York, NY",Van Duzvenbode,7,,0,5000,100000,Coffee & Rattan,Little Egg #22 & 23,Y,N,Ship lost; crew saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emily F Whitney,Full Rigged Clipper,"Flitner,Whitney,Roby,Rollins",Clipper ship,1879,"East Boston, MA",12/19/1892,1892,12,19,Long Beach LSS S 2 mi,Grounded,,US,196,38.6,24,1315,1207,"Boston, MA","Pisagua, Chile","New York, NY",George A Dearborn,19,,0,45000,97870,"Nitrate of soda, woll","Bonds ",N,Y,#135468; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Castalia,,,Brig,1874,"Richmond, ME",2/3/1880,1880,2,3,"Highlands, NJ",Grounded in storm,,,130.7,30.8,17,516.26,490.45,"Bath, ME","Galveston, TX","New York, NY",Elmes,11,,0,12000,94000,Cotton,Seabright #3,N,N,#125233; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
South Carolina (1874),,NY & S Carolina SS Co,Sidewheel steam,1865,"Boston, MA",12/22/1874,1874,12,22,Barnegat Shoal,Stranded,Iron,US,260,35,12,1650,,"New York, NY","Charleston, SC","New York, NY",Beckett,46,,0,230000,90000,Cotton & dry goods,"#15, 16, 17,18",N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Achille S / Achilles,,,Brig,1870,,2/21/1882,1862,2,21,Little Egg LSS E,Grounded,,US,,,,288,,Austria,"Montevideo, SA","New York, NY",Turcich,9,0,0,7000,90000,Hides,#23,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Bethany,,J G Punch,Bark,1870,"Sunderland, England",3/9/1877,1877,3,9,Five Mile Beach,Stranded,Wood,England,127,27.2,17.1,375,359,"Sydney, Australia","Hong Kong, China","New York, NY",Bendall,11,,0,14000,86000,General,Turtle Gut #37,Y,N,#62560; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Badsworth,,"Miller, Bull & Knowlton",Steamer,1883,"South Hampton, England",1/18/1897,1897,1,18,Long Beach LSS NE 1.75 mi,Stranded,Iron,US,263.8,36.1,24.1,1992,1272,"Philadelphia, PA","Pernambuco, Brazil","New York, NY",Fox,23,,0,49000,84600,Sugar,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
John Minturn,,Elisha Faxon,Packet,1841,"Westerly, RI",2/15/1846,1846,2,15,Squan Beach,Stranded in gale,Wood,US,119,27.2,,500,398,"Mystic, CT","New Orleans, LA","New York, NY",Stark,,51,39,,84000,"Cotton, hogsheads, corn, etc",Squan #11,Y,Y,5 passengers lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
Liepa Bakara,,L Stiglich,Brig,1869,"Buccari, Austria",10/25/1872,1872,10,25,Cape May Beach,Stranded,Wood,Austria,127,22,13,263,,"Buccari, Austria","Rio de Janiero, Brazil","New York, NY",O Medanich,4,,0,10000,80000,Coffee,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Etta M Tucker,,B J Willard,Brig,,,1/31/1878,1878,1,31,Asbury Park 5th Ave,Grounded in winter storm,,,118.4,28,10.8,271,,"Portland, ME","Rio de Janiero, Brazil","New York, NY",Forbes,8,,0,9000,80000,Coffee,Deal #6,Y,Y,#8063; Total Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Colon (1884),,,Steamer,1873,"Chester, PA",3/5/1884,1884,3,5,Sandy Hook Romer Shoal,Stranded,,,292,40,20.3,2685.75,1843.5,"New York, NY","Aspinwall, PA","New York, NY",Shackford,28,38,0,200000,75000,General,Sandy Hook,N,N,#125099; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cecil P Stewart,,Dunn & Elliot,Schooner,1919,"Thomaston, ME",2/17/27,1927,2,17,Harvey Cedars,Stranded,Wood,US,222,41,18,1216,1040,"Rockland, ME","Brunswick, GA","New York, NY",James Fales,9,,0,50000,75000,Railroad Ties,Harvey Cedars; Ship Bottom,Y,Y,#217641; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Bertha (1905),,Funch Eyde & Co,Bark,1893,"Inverkeithing, UK",5/16/05,1905,5,16,Long Branch LSS S 1 mi,Grounded in fog,,Denmark,129,25,10.3,265,243,"Ebsjerg, Denmark","Rio Grande, Brazil","New York, NY",J J Norholm,8,,0,30000,70000,Hides; glue stock,Deal & Long Branch,N,Y,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charlotte (1872),,,Brig,,,2/3/1872,1872,2,3,Sandy Hook,Damaged in gale,,,,,,,,,"Matanzas, Cuba","New York, NY",,,,,,60000,Molasses,,N,N,Stayed off shore,,"New York, NY",ROOFTOP,40.714269,-74.005973
Turrialba,,Tropical Fruit SS Co,Steamer,1909,"Belfast, Ireland",12/24/12,1912,12,24,Little Egg Harbor South end,Grounded,Steel,England,378.8,50.3,29.1,4961,3088,"Glasgow, Scotland","Jamaica, WI","New York, NY",H L McKay,161,,0,500000,50000,"Bananas, coconuts & Gen merch",Little Egg/Little Beach,N,N,#128277; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Eduardo,,Compania de Nav. La Flecha,Steamer,1878,"Hull, England",10/10/1885,1885,10,10,Sandy Hook LSS NW 2 mi,Stranded,Iron,Spain,325.3,34.7,25.3,2308,1503,"Bilboa, Spain","Havana, Cuba","New York, NY",Cheviano,30,,0,250000,50000,Sugar,,N,"N ",Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lottie (1886),,Samuel Castner,Schooner,,,10/21/1886,1886,10,21,,"Collision w/ ""F Randall""",,,,,,216,,"Philadelphia, PA","Norfolk, VA","New York, NY",John Somers,7,,0,8000,1200,300 ton lumber,,N,N,#15762; Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Washtenaw,,Union Oil,Steamer,1887,"West Hartlepool, Eng",5/8/08,1908,5,8,Chadwick LSS NE 100 yds,Stranded,Steel,US,312.1,42.6,24.6,2896,2000,"New York, NY","Sabine, TX","New York, NY",,27,,0,200000,50000,Petroleum,Chadwicks & Toms River,N,N,#81499; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Wells City,,James Askell & Co,Steamer,,,3/11/1893,1893,3,11,Seabright LSS,Stranded,Steel,England,261.2,36,20.9,1814,1136,"Bristol, England","Bristol, England","New York, NY",Savage,31,,0,145000,50000,Tin plate,Seabright & Monmouth Beach #4,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Stella (1869),,W K Dudman & Co,Bark,1863,"Yarmouth, NS",7/25/1869,1869,7,25,Deal Beach,Stranded,,England,130,29.1,17,484,,"Yarmouth, NS","Middlesboro, England","New York, NY",Cain,,,,50000,50000,Railroad iron,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charles Platt,,James W Elwell,Bark,1874,"Morristown, NJ",2/10/1886,1886,2,10,Barnegat S 3 mi,Stranded,Wood,US,145,34.8,17.3,632.52,600.89,"Philadelphia, PA","Pernambuco, Brazil","New York, NY",Edwin P Sharp,10,,0,25000,50000,Sugar,"Ship Bottom #18, 19 & 20",Y,N,#125207; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Foyle,,J Nourse,,1874,"Sunderland, England",1/25/1896,1896,1,25,Monmouth Beach LSS E .25 mi,Stranded,,England,243,38.8,24.2,1598,1528,"London, England","Calcutta, India","New York, NY",Hopps,27,,0,20000,50000,"jute, saltpeter, & ginger",,,"N ",#70642,,"New York, NY",ROOFTOP,40.714269,-74.005973
Auburn,,Savannah Line,Packet,1837,"New York, NY",9/25/1847,1847,9,25,Barnegat Light S 5 mi,Stranded,,,117,28.7,16.9,427,,"New Orleans, LA","New Orleans, LA","New York, NY",E S Hoyt,26,,19,25000,45000,Cotton & hemp,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Magdalena,,D A DiLina,Bark,1857,"Madison, CT",9/17/1876,1876,9,17,Island Beach LSS N .5 mi,,,,106.7,28,10.8,259,,"New York, NY","Bolivia, SA","New York, NY",Griffin,18,,0,20000,45000,"Cotton, hides",Island Beach #14,,N,#16932,,"New York, NY",ROOFTOP,40.714269,-74.005973
Anita,,James Henderson,Brig,1875,"Bath, ME",2/16/1885,1885,2,16,Cold Spring Inlet South bar,Stranded,Wood,US,110,29.7,8.7,219,208,"New York, NY",Venezuela,"New York, NY",A McCready,8,2,0,10000,42000,"Hides, deerskin, coffee",Colld Spring,Y,N,#105185; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Brighton (1903),,,Steamer,1902,"Sandefjord, Norway",3/30/03,1903,3,30,Atlantic City LSS E 1 mi,Stranded in fog,Steel,Norway,227.1,31.6,15.1,1250,715,"Sandefjord, Norway","Port Antonio, Jamaica","New York, NY",Otto Krogh,24,,0,125000,40000,Banabas & coconuts,Atlantic City,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Gentoo,,W P Goddard,Bark,1850,"Medford, MA",12/28/1875,1875,12,28,Sandy Hook Point,Stranded,,US,,,19,800,,"New York, NY","Calcutta, India","New York, NY",Staples,18,,0,24000,40000,Gunny bags,Sandy Hook #1,N,N,Refloated; Towed to NY,,"New York, NY",ROOFTOP,40.714269,-74.005973
David Tolck,,John Zittlosen,Schooner,1873,"Millbridge, ME",2/26/1879,1879,2,26,Harvey Cedars,Stranded,,US,132,30,13,445,,,"Sagua La Grande, Cuba","New York, NY",Sawyer,7,2,5,15000,40000,Sugar & Hogsheads,Barnegat,Y,"N ",#6791; Rigging saved & sold in NY,,"New York, NY",ROOFTOP,40.714269,-74.005973
Albertine Meyer,,J Diercks,Brig,,,2/6/1884,1884,2,6,Barnegat LSS SE .5 mi,Stranded,Wood,Germany,102.7,25.3,14.5,266,,"Rostock, Germany","Bahia, Brazil","New York, NY",Selck,9,0,0,10000,40000,Sugar,Barnegat,Y,N,#770; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Arctic,,,Brig,1874,"Wilmot, ON, CA",11/23/1881,1881,11,23,Squan Point LSS E 400 yds,Stranded & burned,,England,112.2,28.2,12.5,274,,"Annapolis, NS","Trieste, Austria","New York, NY",Oxelgren,9,,0,8000,40000,General,Squan Point #11,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Anna (1885),,F Edge & Co,Bark,1873,"Grimstad, Norway",7/7/1885,1885,7,7,Seabright LSS S .5 mi,Stranded,Wood,Sweden,107.9,24.9,14.9,315,,"Sandsvall, Sweden","Aracaju, Brazil","New York, NY",Olsson,10,,0,7000,40000,Sugar,Seabright,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Bianca Aspasia,,,Bark,1884,"Sestri Ponente, Italy",5/23/01,1901,5,23,Ship Bottom LSS S .25 mi,Stranded in fog,Wood,Italy,134.5,27.9,14.1,466,451,"Genoa, Italy","Palenque, San Domingo","New York, NY",Vincenzo Viggi,15,,0,18000,37000,Sugar,,Y,N,#3649; #14232; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Kate Rommal,,John W Adams et al,Schooner,1872,"Milton, DE",12/25/1875,1875,12,25,Sandy Hook W,Stranded,Wood,,120,32,11.4,338,,"Philadelphia, PA","Matanzas, Cuba","New York, NY",John W Adams,7,1,,12000,36177.84,500 tons of sugar,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Niagara (1847),,,Ship,,,11/25/1847,1847,11,25,Sandy Hook,Stranded,,,,,,730,,,"Liverpool, England","New York, NY",,26,274,0,56000,35337,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
John B Biemiller,,E S Crosby,Schooner,1903,"Bath, ME",2/8/10,1910,2,8,Long Beach LSS S 1.5 mi,Grounded,,,188.3,38.2,21.8,1077,858,"Bath, ME",Puerto Rico,"New York, NY",,10,,0,40000,35000,Sugar,Long Beach,N,N,#77588; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Starlight (1890),,,Brig,1874,"Fair Haven, CT",1890,1890,,,Sandy Hook Point,Stranded,,,116,29,11,256,243.4,"New York, NY","Demerara, British Guiana","New York, NY",Olstedt,9,,0,5000,35000,Sugar,,N,N,#115286; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Magnus,,,Brig,,,4/19/1877,1877,4,19,Loveladies LSS S .75 mi,Grounded,Wood,Sweden,,,,280,,"Guttenburgh, Swe","Pernambuco, Brazil","New York, NY",Edstrom,9,,0,7250,33000,Sugar,Loveladies #18,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Flottbek,,Finch Edge & Co,Freighter,1891,"Newcastle, England",11/23/01,1901,11,23,Monmouth Beach LSS S 1.25 mi,Stranded in gale,Steel,Germany,273,42.1,24,1961,1861,"Hamburg, Germany","Plymouth, England","New York, NY",Les Zingler,24,,0,80000,30000,"China, clay & arsenic",Monmouth Beach,N,Y,Cargo removed; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Fred E Scammell,,Scammell Bros,,1880,"Eatonville, Nova Scotia",1/18/1883,1883,1,18,Brigantine Shoal E 3 mi,Stranded,,England,195,39,22.5,1350,,"Parrsboro, NS","Antwerp, Belgium","New York, NY",Anderson,,17,0,70000,30000,Iron & empty barrels,Brigantine,N,N,"#80366; Refloated; Damage ~$25,000",,"New York, NY",ROOFTOP,40.714269,-74.005973
Agnes (1877),,,Steamer,,,3/1/1877,1877,3,1,Cold Spring Bar,Stranded,,,,,,583,,"New York, NY","Philadelphia, PA","New York, NY",Burdick,18,,0,20000,30000,"Whiskey, brandy, soup, paper",3 Mile Beach #38,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Jonathan Sawyer,,B Frank Nealy,Schooner,1886,"Bath, ME",3/19/1896,1896,3,19,Sandy Hook SE .75 mi,Stranded,Wood,US,140,33.3,10.3,399.15,378.2,"Portsmouth, NH","Macoris, WI","New York, NY",Reynolds,7,,0,12000,30000,500 ton sugar,Sandy Hook,N,N,#76617; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Elmina (1884),,William Walthem Staer,Bark,1874,"Kingsbridge, England",1/8/1884,1884,1,8,Long Beach S .75 mi,Stranded in storm,,England,,,,247,,"Salscombe, England","Natal, Brazil","New York, NY",Ball,8,,8,7400,30000,Sugar,Long Beach #21,Y,N,#67277; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Malta,Queen of the South; Milford Haven,W T Dixon,Schooner,1852,"London, England",11/24/1885,1885,11,24,Shark River Inlet S .75 mi,Grounded,Iron,England,243.6,39.3,24.7,1611,1524,"Liverpool, England","Antwerp, Belgium","New York, NY",John Moulton,24,,1,50000,28000,"Silver, sand, stone,Barrels","Shark River, Spring Lake, Squan Beach",Y,Y,#25121; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
S O Co of NY #91,,,Schooner,1900,"West Superior, WI",8/29/03,1903,8,29,Bay Head SE 200 yds,"Stranded, leaking; abandoned",Wood,US,246.6,42,21.2,2019,1851,"New York, NY","Sabine, TX","New York, NY",Hatschall,,,,175000,25000,Gasoline,Bay Head,N,Y,#141698; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Saginaw,Benson,W A Clyne Co,Steamer,1883,"Harrow, England",3/24/1897,1897,3,24,Long Beach LSS NE 1.5 mi,Collision; stranded,Iron,,238,34.3,17.1,1835,1429,"New York, NY",Haiti,"New York, NY",Johnson,13,20,0,100000,25000,500 ton logwood,Long Beach,N,N,"#116240; Refloated; formerly ""Benson""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Kraljevica,,V Turkovich,Bark,1870,"Pastore, Austria",2/10/1886,1886,2,10,Barnegat Shoal S,Wrecked,Wood,Austria,152.5,29.5,18,719,,"Fiume, Austria","Marseilles, France","New York, NY",Sverljuga,14,,8,30000,25000,Salt,"Barnegat, Loveladies & Ship Bottom",Y,Y,Total loss; 3 surfmen lost in rescue,,"New York, NY",ROOFTOP,40.714269,-74.005973
Warren B Potter,W B Potter,Elioha Gibson,Schooner,1879,"Bath, ME",5/21/1885,1885,5,21,Long Beach LSS NE 1.5 mi,Stranded in thick fog,Wood,US,126.6,32.4,8.6,368.34,349.92,"New Bedford, MA","San Domingo, WI","New York, NY",George E Andrews,8,,0,8000,25000,Sugar,Long Beach & Bonds,N,N,#80723; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Chalmette,,Southern Pacific,Passenger,1879,"Philadelphia, PA",7/28/13,1913,7,28,Barnegat LSS SW 1.25 mi,Stranded,Iron,US,321.2,42.2,21.3,3205,2043,"New York, NY","New Orleans, LA","New York, NY",,48,,0,221335,24000,Lumber,Barnegat & Loveladies,N,N,#125768; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
J W Wendt,,Seidenberg & Wendt,Ship,1855,"St John, NB",3/21/1889,1869,3,21,Forked River NE .75 mi,Stranded in storm,Wood,Germany,263.7,44.3,28.5,3369,,"Bremen, Germany","Bremen, Germany","New York, NY",Lass,28,,0,20000,24000,Iron & barrels of oil,Forked River & Island Beach,Y,N,Total loss; Broke up,,"New York, NY",ROOFTOP,40.714269,-74.005973
Antilia,,Bahama SS Co,Steamer,1893,,12/23/00,1900,12,23,Great Egg Harbor Inlet,Stranded,Steel,England,200,30.2,12.2,927,588,"Nassau, BAH","Nassau, Bahamas","New York, NY",C F montell,23,2,0,60000,23000,General,Ocean City & Longport,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Roda,,English & American Shipping Co,Freighter,1897,"Dumbarton, England",2/13/08,1908,2,13,Jones Beach LSS SE .75 mi,Stranded,Steel,England,315,44,20,2516,,"London, England","Huelva, Spain","New York, NY",W J Beavan,27,,0,80000,22680,Copper ore,Jones Beach,Y,Y,Broke up; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Levuka,,B Smith et al,Bark,1884,"Courtney Bay, NB",4/4/1887,1887,4,4,Bay Head LSS S 1 mi,Stranded,Wood,England,191,39.6,24,1425,,"Windsor, NS","London, England","New York, NY",T H Harris,22,,0,35000,20000,"Iron, cement & empty barrells",Bay Head,N,N,#85450; Saved Refloated,See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
Meta,Full Rigged Clipper,F Roters,Clipper ship,1854,"Damariscotta, ME",10/14/1883,1883,10,14,Bay Head LSS S 1.5 mi,Stranded,Wood,Germany,204,42,28,1812,,"Bremerhaven, Germany","Bremerhaven, Germany","New York, NY",Frerichs,24,,0,25000,20000,8000 empty barrels,,Y,Y,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Jennie Hall,,,Schooner,1883,"Columbia Falls, ME",2/7/1889,1889,2,7,Sandy Hook SE 2 mi,Stranded,Wood,,121.8,32.1,10.5,412.38,391.77,"Machias, ME","Jacksonville, FL","New York, NY",Coffin,9,,0,20000,20000,Lumber,,N,N,#76454; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Live Oak,,Jacobus Van Zant,Sloop,,,10/20/1769,1769,10,20,Squan Beach,Stranded,,,,,,,,"New York, NY",San Domingo,"New York, NY",Richard Foy,18,,14,,20000,"Sugar, Mahogany, spices",,Y,N,Broke up; total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Nicanor,,Black Bros & Co,Bark,1886,"Mahone Bay, NS",9/2/1889,1889,9,2,"Egg Harbor Inlet, Outer bar",Stranded,,,240,30.8,16.9,453,,"Lunnenberg, NS","Montevideo, SA","New York, NY",Wolfe,13,,0,25000,18000,Wool & hides,,N,N,#90861; Refloated without damage,See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
Anson Stimson,,Pigeon Hill Granite Co,Schooner,1874,"Salisbury, MA",1/16/1881,1881,1,16,Atlantic City LSS N 1.25 mi,Stranded in fog,,US,117.6,28,9.2,224,,"Gloucester, MA","Macoris, San Domingo","New York, NY",McLane,6,1,0,17000,18000,"Sugar, molasses",Atlantic City #28,Y,Y,#105397; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Three Cheers,,J A Moren & Co,Brig,1873,"Guysborough, NS",3/24/1882,1882,3,24,Ship Bottom SW 1 mi,Stranded,Wood,England,102,25.8,11.2,185,,"Halifax, NS","Manzamillo, Cuba","New York, NY",B McConnell,7,,0,6000,18000,Sugar & Molasses,Ship Bottom,N,N,#69051; Refloated,See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
John H Buttrick,,,Schooner,1891,"Newburyport, MA",12/27/1899,1899,12,27,Bonds LSS S 2 mi,Grounded,,US,157,36.4,13,627,540,"Boston, MA","Brunswick, GA","New York, NY",Sprague,3,,0,20000,17045,Lumber,Bonds & Little Egg,N,N,#76928; Refloated undamaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
John R Bergen,,Gilbert Transportation Co,Schooner,,,3/1/06,1906,3,1,,Foundered in gale,Wood,US,,,,564,,"New London, CT","Fernandina, FL","New York, NY",William S Nichols,8,,0,15000,17000,Lumber,,Y,N,#76325; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Germania,Cumberland,H Addicks,Bark,1852,"Baltimore, MD",11/27/1889,1889,11,27,Long Branch LSS N .75 mi,Grounded,Wood,Germany,154.5,33.9,21.4,,817,"Bremerhaven, Germany","Stettin, Germany","New York, NY",H Windhorst,15,0,10,10000,17000,"Cement, wood pulp, barrels",Long Branch,Y,N,Broke up; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Douglass,,G Wood,Bark,1867,"Prince Edward Island, CA",4/4/1880,1880,4,4,Pecks Beach,Wrecked in heavy fog,Wood,England,117.2,26.7,14.9,322,311,"North Shields, England","Santos, SA","New York, NY",Farrell,10,,0,8000,17000,Old railroad iron,Pecks Beach #31,Y,N,#57062; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Scotland (1887),,,Bark,1881,"Hantsport, NS",12/17/1887,1887,12,17,Squan Beach LSS N 1.5 mi,Stranded,,England,202,37,24,1499,,"Windsor, NS","Liverpool, England","New York, NY",Munroe,22,,0,20000,16000,9000 barrels; 300 ton soda ash,Squan Beach & Spring Lake,N,Y,Refloated,Scrapbook #15,"New York, NY",ROOFTOP,40.714269,-74.005973
Thomas Fletcher,,Charles L Wright & Co,Bark,1862,"Bath, ME",2/4/1875,1875,2,4,Wreck Pond Squan Beach N .5 mi,Grounded in fog,,,144.1,32.2,14.1,,645,"Pendelton, SC","Hamburg, Germany","New York, NY",S Pendleton,,17,0,20000,15000,Assorted,Squan Beach #8,N,N,Refloated; TOwed to NY,,"New York, NY",ROOFTOP,40.714269,-74.005973
Thetis (1882),,F Gogorzas & Sons,Brig,1871,"Baltimore, MD",3/16/1882,1882,3,16,Ship Bottom LSS S .25 mi,Stranded in storm,Wood,US,128,27,14.1,323,,"New York, NY","Bonaire, WI","New York, NY",Yuist,8,6,0,12000,15000,Salt & Rye wood,"Harvey Cedars #19, Ship Bottom #20, Long Beach #21",N,N,#24863; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lillian Cameron,,,Brig,,,12/26/1876,1876,12,26,Squan Inlet S 5 mi,Stranded in snow storm,,Canada,,,,199,,"Charlottetown, PEI","Georgetown, PEI","New York, NY",Abner McDonald,7,,0,10000,6000,Potatoes,Pt Pleasant #10 & #11,Y,N,Broke up; Total loss,See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
Addie Jordan,,,Schooner,1873,"Saco, ME",12/14/07,1907,12,14,Squan Beach N 5 mi,Stranded,Wood,US,132.3,31.6,9.5,376,357,"Norfolk, VA","Norfolk, VA","New York, NY",Cramer,2,,0,2000,14000,Lumber,Squan Beach #8,Y,N,#105245; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ella,,Schooner,,1864,"Damariscotta, ME",6/22/1876,1876,6,22,Hereford Inlet South bar,Stranded,,,,,10,160,,"Boston, MA",Puerto Rico,"New York, NY",Driscoll,6,,0,,13500,Sugar & molasses,Hereford Inlet  #36,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Edith L Allen (1902),,George Thomas,Schooner,1890,"Richmond, ME",2/2/02,1902,2,2,Brigantine LSS E 3.5 mi,Stranded in gale,Wood,,185.3,39.1,18.4,969,920,"Philadelphia, PA","St Simons, GA","New York, NY",Gilkey,9,,0,25000,13000,Lumber,Brigantine,N,"N ",#136124; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Corinne,,,Steamer,1864,"Baltimore, MD",2/28/1877,1877,2,28,Hereford Inlet SE 8 mi,Hit sunken wreck,,,,,,58,,"New York, NY","Norfolk, VA","New York, NY",Pitts,5,,0,8500,13000,Hydraulic pumps,Hereford #39,Y,N,#4065; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
W C Warner,,William C Warner,Brig,1881,"Plympton, NS",10/30/1886,1886,10,30,Bayhead LSS N 1.25 mi,Stranded,Wood,Canada,89,25.6,9.9,144,,"Plympton, NS","Demerara, British Guiana","New York, NY",Warner,8,,0,6000,12400,"Hogsheads, Nails",Bayhead & Mantaloking,N,N,#80793; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
J B King & Co # 19,,,Schooner,1899,"Port Richmond, NY",2/23/08,1908,2,23,Little Beach LSS SE 3.5 mi,Stranded,Steel,US,206.3,34.9,19,1166,1116,"New York, NY","Norfolk, VA","New York, NY",,29,,0,220000,12000,Coal,Little Beach,N,N,"#77360; Refloated; See ""Gypsum King""",,"New York, NY",ROOFTOP,40.714269,-74.005973
J B King & Co # 20,,,Schooner,1899,"Port Richmond, NY",2/23/08,1908,2,23,Little Beach LSS SE 3.5 mi,Stranded,Steel,US,206.3,34.9,19,1166,1111,"New York, NY","Norfolk, VA","New York, NY",,29,,0,220000,12000,Coal,Little Beach,N,N,"#77385; Refloated; See ""Gypsum King""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Jefferson,,Tupper & Beattie,Schooner,1874,"Brooklyn, NY",12/14/1882,1882,12,14,Barnegat Shoal,Grounded,Wood,US,124.6,30,11.5,325,,"New York, NY","Mobile, AL","New York, NY",J E Gibbs,8,,0,20000,12000,Lumber,Barnegat #17,N,N,#75639; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
